#30.01.2023
#Porównanie wyników dla modelu centralnego spinu:
#wyniki Jakuba Korsaka
#https://github.com/korsakjakub/cs_q_sim/blob/main/outputs/2023-01-30T10:51:21%2B01:00
#a wyniki z programu Jacka Dobrzynieckiego.
#
#Badany układ:
#H = B \sum_{k=1}^N S^k_z  +  B_0 S^0_z  +  \sum_{k=1}^N C_k [ S^0_+ S^k_-   +   H.c. ]
#Parametry hamiltonianu:
#Pole magnetyczne B = 1000
#Pole magnetyczne B_0 = 1002
#Parametry oddziaływań: (przyjmując numerację spinów środowiskowych od 0 do 7)
#C_0 = 22.46935609503098
#C_1 = -44.93871218982019
#C_2 = 22.46935609503098
#C_3 = 89.87742437988217
#C_4 = 22.46935609503098
#C_5 = -44.93871218982019
#C_6 = 22.46935609503098
#C_7 = 89.87742437988217
#Jednostki energii = h x Hz
#Stan początkowy: spin centralny - dół, spiny środowiskowe - uuuudddd
#
#Kolumny z danymi:
#time[JK][seconds/2π]	czas (wartości "x") z pliku z wynikami J. Korsaka [w sekundach/2π]
#central_spin[JK]	central spin (wartości "y") z pliku z wynikami J. Korsaka
#time[JK][seconds]	czas (wartości "x") z pliku z wynikami J. Korsaka [przeliczony na jednostki sekund]
#central_spin_modified[JK]	central spin (wartości "y") z pliku z wynikami J. Korsaka, zmodyfikowany przez dodanie wartości ~0.164
#time[JD][seconds]	czas wg wyników Jacka Dobrzynieckiego
#central_spin[JD]	central spin wg wyników Jacka Dobrzynieckiego
#
#
#time[JK][seconds/2π]	central_spin[JK]	time[JK][seconds]	central_spin_modified[JK]	time[JD][seconds]	central_spin[JD]
0.065	-0.140684302269046	0.0103450713009732	0.023516953179329	0.010345075	0.01208
0.066	-0.144797401185238	0.0105042262440651	0.019403854263137	0.01050423	0.00842
0.067	-0.150157713166208	0.010663381187157	0.0140435422821673	0.010663385	0.00316
0.068	-0.156384277013307	0.0108225361302489	0.00781697843506782	0.01082254	-0.00336
0.069	-0.163111173476352	0.0109816910733408	0.00109008197202273	0.010981695	-0.01073
0.07	-0.170003279941599	0.0111408460164327	-0.00580202449322406	0.01114085	-0.01853
0.071	-0.176766161009442	0.0113000009595246	-0.0125649055610672	0.011300005	-0.02633
0.072	-0.183151601718229	0.0114591559026165	-0.018950346269854	0.01145916	-0.03374
0.073	-0.188960317094317	0.0116183108457084	-0.0247590616459417	0.011618315	-0.0404
0.074	-0.194043048940558	0.0117774657888003	-0.0298417934921832	0.01177747	-0.04603
0.075	-0.198300754555133	0.0119366207318922	-0.0340994991067584	0.011936625	-0.05043
0.076	-0.201684076677108	0.012095775674984	-0.037482821228733	0.01209578	-0.05351
0.077	-0.204191901717822	0.0122549306180759	-0.0399906462694471	0.012254935	-0.0553
0.078	-0.205868646512211	0.0124140855611678	-0.0416673910638357	0.01241409	-0.05594
0.079	-0.206799973255362	0.0125732405042597	-0.0425987178069869	0.012573245	-0.05564
0.08	-0.207106863919415	0.0127323954473516	-0.0429056084710404	0.0127324	-0.05469
0.081	-0.206938291771456	0.0128915503904435	-0.0427370363230814	0.012891555	-0.05344
0.082	-0.206462998088162	0.0130507053335354	-0.0422617426397866	0.01305071	-0.05221
